VID,RID,epoch,deviceType,osName,isWorker,SSR,serverPush,streamingResponse,workerAssets,fromGoogle,dnsLookupTime,timeToFirstByte,cssBundleLoadTime,mainJsBundleLoadTime,firstPaint,firstContentfulPaint,tti
6129acfb-4c6d-4c4a-99a1-23ac24daa678,6129acfb-4c6d-4c4a-99a1-23ac24daa678,1550995352031,mobile,iOS,0,1,0,,0,1,,,,,,,
964a08a1-9014-45d4-87a9-583662ca6a93,964a08a1-9014-45d4-87a9-583662ca6a93,1552219989437,mobile,iOS,1,1,0,0,0,1,68,959,,,,,
2c82df89-810d-4712-841d-eb4c9069f354,2c82df89-810d-4712-841d-eb4c9069f354,1552227435310,mobile,Android,1,1,1,0,1,1,48,202,,,,,
84305754-1c05-4fad-928f-d10224bf4a89,84305754-1c05-4fad-928f-d10224bf4a89,1552256784539,mobile,Android,1,1,0,1,0,1,,,,,,,
2e816655-3b31-4699-9c9a-ab16f9c9b33f,2e816655-3b31-4699-9c9a-ab16f9c9b33f,1552279377723,mobile,iOS,1,0,1,0,1,1,54,421,8,12,,,
e0f124b8-de15-42e6-aede-6a8790e498c8,e0f124b8-de15-42e6-aede-6a8790e498c8,1551017045492,mobile,Android,0,1,0,,0,1,,,,,,,
51368e9a-c483-4a2c-8942-4b1fbb90f353,51368e9a-c483-4a2c-8942-4b1fbb90f353,1552332203339,mobile,iOS,1,0,0,0,1,1,35,316,55,73,,,
40771f83-02d5-4248-affe-4f18ba9cc5a6,40771f83-02d5-4248-affe-4f18ba9cc5a6,1552319693115,mobile,iOS,1,1,0,1,1,1,0,2157,117,141,,,
569cb140-f9e6-4ce3-8b96-3f993673d711,569cb140-f9e6-4ce3-8b96-3f993673d711,1552309103580,NA,Windows,1,0,1,0,1,1,,,,,,,
5b5f890d-a7fb-4164-a1d3-60321f6010e2,5b5f890d-a7fb-4164-a1d3-60321f6010e2,1552235641698,NA,Windows,1,1,0,1,1,1,173,404,73,167,,926,
c4e2e2d8-7715-4492-b0fa-689e65674105,c4e2e2d8-7715-4492-b0fa-689e65674105,1552324509200,mobile,iOS,1,1,1,0,1,1,40,545,,,,,
d1d3cefc-8f42-4919-8e3f-eeacb652e338,d1d3cefc-8f42-4919-8e3f-eeacb652e338,1552306382025,NA,Mac OS,1,1,0,0,0,1,21,,34,79,,718,
abd3f937-52cc-4787-8016-a529d87fc04d,abd3f937-52cc-4787-8016-a529d87fc04d,1552185746230,NA,Android,1,0,0,0,0,1,,,,,,,
393b3fd8-0915-4303-8327-4c38482db764,393b3fd8-0915-4303-8327-4c38482db764,1552379206514,mobile,Android,1,1,1,0,0,1,99,723,13,34,1065,1065,11101
6873e56e-f21c-4dbd-99e4-bf763654407a,6873e56e-f21c-4dbd-99e4-bf763654407a,1552279783739,mobile,Android,1,1,0,1,0,1,,635,145,248,1101,1101,1304
71a66bc5-13e1-4b9d-84c5-fdef79b40860,71a66bc5-13e1-4b9d-84c5-fdef79b40860,1552288861456,mobile,iOS,1,1,1,0,1,1,,305,16,104,,,
997aa8b7-0d02-4a03-9a8d-fc4f637a8e97,997aa8b7-0d02-4a03-9a8d-fc4f637a8e97,1552351708912,mobile,Android,1,0,0,1,1,1,8,468,56,139,719,1001,
18aeeffd-56a2-4499-96b5-132686e48250,18aeeffd-56a2-4499-96b5-132686e48250,1551017936776,mobile,Android,0,0,1,,1,1,,,,,,,
475957a8-ce86-4045-b282-310edcfb3170,475957a8-ce86-4045-b282-310edcfb3170,1552157008899,mobile,iOS,1,1,1,1,1,1,,,,,,,
309c57d6-436a-4e8c-90dd-b47f4ed6b4f5,309c57d6-436a-4e8c-90dd-b47f4ed6b4f5,1552347289943,mobile,iOS,1,0,0,0,0,1,,,,,,,
3d4f616f-7b3f-4747-ba2c-a9f7da9015c8,3d4f616f-7b3f-4747-ba2c-a9f7da9015c8,1552400866009,NA,Windows,1,1,1,1,1,1,,,79,530,,,
27858438-44c1-486c-a01e-035b6bebae76,27858438-44c1-486c-a01e-035b6bebae76,1552305501794,mobile,iOS,1,1,0,0,0,1,220,4210,432,704,,,
1c045f6d-8045-4ede-a5cd-cff95d7d9ae6,1c045f6d-8045-4ede-a5cd-cff95d7d9ae6,1552362941759,mobile,Android,1,0,1,0,0,1,0,,64,71,,,
4513cfb6-ae80-4469-b7b3-f9f1408e39b7,4513cfb6-ae80-4469-b7b3-f9f1408e39b7,1552268447707,mobile,iOS,1,0,0,1,1,1,245,1432,164,273,,,
64eefa92-e62b-4ae7-816e-93daeb3354bd,64eefa92-e62b-4ae7-816e-93daeb3354bd,1552330698612,mobile,Android,1,1,1,0,0,1,2,494,39,53,713,713,986
e43dc254-6d02-4466-95ce-b98921c0d827,e43dc254-6d02-4466-95ce-b98921c0d827,1552388520832,mobile,Android,1,1,1,1,0,1,0,557,20,44,877,877,
f772beb0-6cbe-4f5a-809d-a11d62497a88,f772beb0-6cbe-4f5a-809d-a11d62497a88,1552216128164,mobile,iOS,1,0,1,0,1,1,57,627,,,,,
700f06ec-79ce-4244-a669-67a9f6771c3d,700f06ec-79ce-4244-a669-67a9f6771c3d,1552354227728,mobile,iOS,1,1,0,0,0,1,573,,578,915,,,
4c55684d-f45b-4f35-9d18-a8e39a06079b,4c55684d-f45b-4f35-9d18-a8e39a06079b,1552240514143,mobile,Android,1,1,1,0,0,1,126,551,23,49,858,858,
5224a5d7-89fb-4e52-96dc-421e202867f0,5224a5d7-89fb-4e52-96dc-421e202867f0,1552229970955,NA,NA,1,0,0,1,0,1,,,,,,,
a11e96cd-a250-43aa-980b-fd5d3bf177b4,a11e96cd-a250-43aa-980b-fd5d3bf177b4,1552162657031,mobile,Android,1,0,1,1,1,1,158,567,,,,,6230
1b44cd25-5242-455e-b191-b6231aa2e4fe,1b44cd25-5242-455e-b191-b6231aa2e4fe,1552393580313,mobile,Android,1,1,0,1,0,1,0,405,108,206,965,966,
dec70116-fee4-457b-bd51-f8591d465e29,dec70116-fee4-457b-bd51-f8591d465e29,1552291094572,mobile,iOS,1,1,1,0,0,1,391,1623,,,,,
68e99bb4-2fa3-44c3-8b65-eb7ea7395387,68e99bb4-2fa3-44c3-8b65-eb7ea7395387,1552322433174,mobile,Android,1,0,0,0,0,1,103,346,62,172,692,1172,32565
39e54091-2ea6-4491-8a27-cb9f649d0a47,39e54091-2ea6-4491-8a27-cb9f649d0a47,1550982177288,tablet,Android,0,1,0,,0,1,,,,,,,
4c44876f-2670-4b16-b147-91729e87e81c,4c44876f-2670-4b16-b147-91729e87e81c,1552239726778,mobile,iOS,1,0,0,0,1,1,29,584,69,95,,,
7d10efce-0c07-411b-bceb-be7a15aa2494,7d10efce-0c07-411b-bceb-be7a15aa2494,1552235943046,mobile,iOS,1,0,0,1,0,1,0,268,64,70,,,
38592ef3-2e8f-4715-906d-c347dcecb8ea,38592ef3-2e8f-4715-906d-c347dcecb8ea,1552281177829,NA,Windows,1,0,1,0,1,1,,893,98,176,,,
3c5696a2-d974-4c10-9d67-dc95e3c15ed8,3c5696a2-d974-4c10-9d67-dc95e3c15ed8,1552335355375,mobile,Android,1,0,1,1,0,1,189,554,31,86,895,1157,6101
0a8e82e5-e2c1-4de8-a03f-de2f393f5aaa,0a8e82e5-e2c1-4de8-a03f-de2f393f5aaa,1552297895250,mobile,iOS,1,0,0,1,0,1,42,1248,260,322,,,
f804bff0-1887-4491-be22-e37d6a2427a5,f804bff0-1887-4491-be22-e37d6a2427a5,1550991450201,mobile,Android,1,1,1,,0,1,,,,,,,
871ea219-64fc-499d-8955-dbb3ccfea495,871ea219-64fc-499d-8955-dbb3ccfea495,1552188916904,mobile,iOS,1,1,1,1,1,1,74,755,,,,,
c520e652-e284-47c2-b6ab-267ccf59c194,c520e652-e284-47c2-b6ab-267ccf59c194,1552289239887,mobile,iOS,1,0,1,0,0,1,152,492,1,55,,,
714c26ad-7ef8-47b2-986e-30c4e6755fae,714c26ad-7ef8-47b2-986e-30c4e6755fae,1552155918680,NA,Windows,1,1,1,1,0,1,,,,,,,
acc44f2f-6165-4c1f-af4e-3073ba22784b,acc44f2f-6165-4c1f-af4e-3073ba22784b,1552339760098,mobile,Android,1,1,1,0,1,1,,,,,,,
b7052b6b-3b68-4329-9b5a-5df48e701924,b7052b6b-3b68-4329-9b5a-5df48e701924,1552319731747,mobile,Android,1,0,1,1,0,1,0,2085,73,60,4184,4426,6237
ca62785d-e1a2-4b03-a0ab-d3e03243a87f,ca62785d-e1a2-4b03-a0ab-d3e03243a87f,1552391048374,mobile,Android,1,0,1,0,0,1,271,944,999,390,,,
ad941de2-3661-40fb-8d91-e3ebc41a01f4,ad941de2-3661-40fb-8d91-e3ebc41a01f4,1552272832327,mobile,iOS,1,0,0,1,0,1,56,469,806,3101,,,
50d25518-a112-46c9-8e03-809b45095b5e,50d25518-a112-46c9-8e03-809b45095b5e,1552393115544,NA,Linux,1,1,1,0,0,1,,,,,,,
dc0796d8-69fa-4982-bbc9-4f9bf5e418a9,dc0796d8-69fa-4982-bbc9-4f9bf5e418a9,1551004111013,mobile,iOS,0,0,1,,0,1,,,,,,,
cc90f125-f439-40db-9f71-20056a278c79,cc90f125-f439-40db-9f71-20056a278c79,1552209153204,mobile,iOS,1,0,0,0,0,1,0,132,,,,,
455b9a77-30b1-46bd-bd41-6e00f21c98f4,455b9a77-30b1-46bd-bd41-6e00f21c98f4,1552298739105,mobile,iOS,1,0,1,1,1,1,79,852,0,9,,,
2a7cfd38-0d91-459a-99c6-eb368880c681,2a7cfd38-0d91-459a-99c6-eb368880c681,1552400013938,mobile,Android,1,1,1,0,0,1,0,1622,,,2896,2896,14656
ea8c14b7-f8d2-4b53-ad70-daff1e79d5f9,ea8c14b7-f8d2-4b53-ad70-daff1e79d5f9,1552321322489,mobile,Android,1,0,1,0,0,1,1432,3575,81,525,7630,8488,13146
efd6a9cd-aa1e-4e5c-8f60-e43448b27aa4,efd6a9cd-aa1e-4e5c-8f60-e43448b27aa4,1551001515836,mobile,iOS,1,1,0,,0,1,,,,,,,
24e81c52-4876-42e2-a7d3-f2dad1ec9dc0,24e81c52-4876-42e2-a7d3-f2dad1ec9dc0,1552398958798,mobile,iOS,1,0,1,0,0,1,129,883,19,116,,,
81fc5788-07f2-4b27-8597-6025ad1e091d,81fc5788-07f2-4b27-8597-6025ad1e091d,1552402292534,NA,Windows,1,0,1,1,1,1,100,394,10,15,,,2251
03143c4a-2b2e-4d23-80bd-54017142b29e,03143c4a-2b2e-4d23-80bd-54017142b29e,1552336420502,mobile,iOS,1,0,1,1,1,1,,,,,,,
456deb9c-9846-4158-9291-6b07684f6843,456deb9c-9846-4158-9291-6b07684f6843,1552161324643,mobile,Android,1,0,0,1,1,1,0,248,,,,,7817
07bf758f-809f-4c6f-955c-bced4d4fdf90,07bf758f-809f-4c6f-955c-bced4d4fdf90,1552382069946,mobile,Android,1,0,1,1,0,1,403,1343,147,145,1610,1780,1760
9aae304a-a5bb-4130-a811-5d9daf84e528,9aae304a-a5bb-4130-a811-5d9daf84e528,1551014644009,mobile,Android,1,0,1,,1,1,,,,,,,
38563cd6-8c11-425b-b2c8-591b1b346bad,38563cd6-8c11-425b-b2c8-591b1b346bad,1552255633100,mobile,iOS,1,0,1,0,1,1,,,,,,,
78dd2dfa-7956-4d24-9351-0bf11ea9d688,78dd2dfa-7956-4d24-9351-0bf11ea9d688,1552327520155,mobile,iOS,1,0,1,1,0,1,282,759,13,41,,,
1c313915-f428-44a8-aaaa-5efbee333821,1c313915-f428-44a8-aaaa-5efbee333821,1552395780368,mobile,Android,1,0,0,1,0,1,26,357,118,201,1371,1606,1805
89a5f965-3221-40b9-a926-037b67cbcb97,89a5f965-3221-40b9-a926-037b67cbcb97,1552303630231,mobile,iOS,1,0,0,0,0,1,0,640,183,236,,,
3d990841-c570-4d2c-9cee-161657e3edee,3d990841-c570-4d2c-9cee-161657e3edee,1552282078301,mobile,Android,1,1,1,1,0,1,,599,32,44,973,973,
a288359f-6296-4116-8620-674a13c7cfd9,a288359f-6296-4116-8620-674a13c7cfd9,1552405282633,mobile,Android,1,1,1,0,1,1,147,1130,37,51,1458,1458,6076
d1e47ff9-2853-41e4-844d-f02f67f50db9,d1e47ff9-2853-41e4-844d-f02f67f50db9,1552291840797,mobile,Android,1,1,0,0,0,1,42,478,50,64,694,694,728
9f418776-f392-4f5f-960f-6d395beb51bf,9f418776-f392-4f5f-960f-6d395beb51bf,1550965962097,mobile,Android,1,1,0,,0,1,,,,,,,
a3143597-df8f-48db-9576-84307881c0b4,a3143597-df8f-48db-9576-84307881c0b4,1552252551544,mobile,Android,1,0,0,1,0,1,,,,,,,
d5b478d8-141a-4ff5-9cd8-339951392912,d5b478d8-141a-4ff5-9cd8-339951392912,1552325658594,NA,Windows,1,1,0,0,0,1,81,434,101,195,878,878,1067
9663f728-ba00-4b8a-8f25-b33bc0014002,9663f728-ba00-4b8a-8f25-b33bc0014002,1552258600861,NA,Windows,1,1,1,0,0,1,,,,,,,
8f5f79d9-aa01-42c2-9c72-6219fb709d02,8f5f79d9-aa01-42c2-9c72-6219fb709d02,1552247464490,mobile,Android,1,1,1,0,0,1,,,,,,,
cb9dc8a8-9865-486e-9042-cf2c2767ebe0,cb9dc8a8-9865-486e-9042-cf2c2767ebe0,1552355149827,mobile,Android,1,0,1,0,1,1,646,1851,158,282,,,
4b68fa4f-c8e4-4f2b-b237-166816e96e4d,4b68fa4f-c8e4-4f2b-b237-166816e96e4d,1552315155899,mobile,Android,1,1,0,1,0,1,0,473,277,428,,,
307dc37f-dd9f-47d5-8b72-3a54bc218bf0,307dc37f-dd9f-47d5-8b72-3a54bc218bf0,1552295247574,mobile,Android,1,1,0,1,0,1,,,,,,,
5b7a0027-65e5-49a3-8a35-8db5287fb55b,5b7a0027-65e5-49a3-8a35-8db5287fb55b,1551018130943,mobile,Android,0,1,1,,0,1,,,,,,,
437f2407-a337-4989-95f6-d967bbe21051,437f2407-a337-4989-95f6-d967bbe21051,1552199144010,mobile,Android,1,0,0,1,0,1,646,1240,,,,,
dac7ca0c-b1c9-405c-b838-4faa9b0c13e4,dac7ca0c-b1c9-405c-b838-4faa9b0c13e4,1552398174085,mobile,iOS,1,0,0,1,0,1,141,762,312,569,,,
8964dd67-7a95-4baf-b552-60d3067af387,8964dd67-7a95-4baf-b552-60d3067af387,1552340432986,mobile,Android,1,1,1,1,1,1,,,,,,,
ee027126-8725-42bf-b643-dee5ae814c9a,ee027126-8725-42bf-b643-dee5ae814c9a,1552323398126,NA,Windows,1,0,0,0,1,1,108,546,66,153,812,1028,
d73c9e13-c4dc-4550-82ac-47810fe4c2cb,d73c9e13-c4dc-4550-82ac-47810fe4c2cb,1552395691196,mobile,Android,1,0,1,1,0,1,1,412,343,356,1412,1412,5452
08158ece-86ac-4d57-a761-0e82ed68010c,08158ece-86ac-4d57-a761-0e82ed68010c,1552297222065,mobile,iOS,1,1,0,1,0,1,143,518,89,112,,,
865decad-c133-40b1-9c27-80321d7f9cfc,865decad-c133-40b1-9c27-80321d7f9cfc,1552189533096,mobile,iOS,1,1,0,1,1,1,109,1035,,,,,
5df8b8ba-be2e-46b1-8117-64743589a055,5df8b8ba-be2e-46b1-8117-64743589a055,1552391564563,mobile,iOS,1,0,0,0,0,1,106,610,129,166,,,
33703b58-1348-4c7f-a857-c16d4e945355,33703b58-1348-4c7f-a857-c16d4e945355,1552229964235,NA,NA,1,0,0,0,0,1,,,,,,,
7971c933-29c2-479f-a16c-b02a9bbe4ee2,7971c933-29c2-479f-a16c-b02a9bbe4ee2,1552253900074,mobile,Android,1,1,0,0,0,1,,,,,,,
9a24a641-0bdc-4d04-aeee-f5ded9e69bb2,9a24a641-0bdc-4d04-aeee-f5ded9e69bb2,1552353455946,mobile,Android,1,1,0,1,1,1,,,,,,,
f53089ba-5323-4e1e-9cca-99e7b9ee4a6c,f53089ba-5323-4e1e-9cca-99e7b9ee4a6c,1552220381704,mobile,Android,1,0,1,1,1,1,86,489,,,,,913
640a9274-5227-40d3-b73f-ec6352c004b4,640a9274-5227-40d3-b73f-ec6352c004b4,1552192976668,mobile,iOS,1,0,0,1,1,1,82,716,,,,,
78314499-f5c6-4a51-9b9e-1156806ad99d,78314499-f5c6-4a51-9b9e-1156806ad99d,1550999898147,NA,Windows,1,0,1,,0,1,,,,,,,
54f6c549-8dcf-4785-ab2d-87a5bb8c7d36,54f6c549-8dcf-4785-ab2d-87a5bb8c7d36,1552335882304,mobile,iOS,1,1,0,0,1,1,,,,,,,
32a13b78-856c-4aeb-a4db-8c914bd749bd,32a13b78-856c-4aeb-a4db-8c914bd749bd,1552402174017,mobile,iOS,1,1,1,0,0,1,31,490,1235,2,,,
16957cfb-3a48-400f-9ac6-93bd802ed401,16957cfb-3a48-400f-9ac6-93bd802ed401,1552166733511,NA,Windows,1,1,0,0,0,1,0,625,,,,,
3539d3b9-307c-4c29-8611-0764da773a00,3539d3b9-307c-4c29-8611-0764da773a00,1552348878714,mobile,Android,1,0,0,0,1,1,177,694,115,282,1023,1316,1424
4139a61e-29c4-43c8-abaf-f9a9bb95ab96,4139a61e-29c4-43c8-abaf-f9a9bb95ab96,1552159173289,mobile,Android,1,0,1,0,0,1,0,559,,,,,1079
55804da8-6ae8-4dbd-86f1-20ff52457728,55804da8-6ae8-4dbd-86f1-20ff52457728,1551020448973,mobile,iOS,1,1,0,,0,1,,,,,,,
0dbc419f-df12-4cdb-a42b-40f9a1e03a32,0dbc419f-df12-4cdb-a42b-40f9a1e03a32,1552405473787,mobile,iOS,1,0,1,0,1,1,351,,1,50,,,
92cf4ee4-5afa-4e06-b6b0-e3f12336915f,92cf4ee4-5afa-4e06-b6b0-e3f12336915f,1552317305194,mobile,iOS,1,0,0,1,0,1,89,482,405,394,,,
0a60a603-d662-4ba9-881a-e689ae947e85,0a60a603-d662-4ba9-881a-e689ae947e85,1552330709255,mobile,Android,1,1,0,0,0,1,,,,,,,
6152c33a-74cd-46fa-bf1c-2ca5fecd7567,6152c33a-74cd-46fa-bf1c-2ca5fecd7567,1552224342126,tablet,iOS,1,0,0,1,0,1,80,677,,,,,
fd3f6244-6a5c-4d01-9c91-25dad93c3cc9,fd3f6244-6a5c-4d01-9c91-25dad93c3cc9,1552318463625,NA,Windows,1,1,0,1,1,1,,403,41,108,,,940
35a34d0c-7ee9-4c70-857b-3c2af9bd913f,35a34d0c-7ee9-4c70-857b-3c2af9bd913f,1551020630724,mobile,Android,1,1,0,,0,1,,,,,,,
b0b29625-e28b-41a5-a733-63a66781da76,b0b29625-e28b-41a5-a733-63a66781da76,1552353987323,mobile,Android,1,1,1,0,1,1,,,,,,,
64b0b028-a9f0-437d-b779-cb11acae0340,64b0b028-a9f0-437d-b779-cb11acae0340,1552306442540,mobile,Android,1,0,1,1,1,1,,,766,761,1704,,
7a827aa3-1ff5-482f-9a01-5ef4e79dc1bb,7a827aa3-1ff5-482f-9a01-5ef4e79dc1bb,1552324685546,mobile,Android,1,0,0,0,0,1,0,,130,299,1550,,
9aac2b0e-d7ea-481e-a54c-1eddcafb8a0a,9aac2b0e-d7ea-481e-a54c-1eddcafb8a0a,1550990089341,mobile,Android,1,0,0,,1,1,,,,,,,
02bc51ab-98cc-4d7d-8f2b-bd59ddaacaaf,02bc51ab-98cc-4d7d-8f2b-bd59ddaacaaf,1552182328720,NA,Mac OS,1,0,1,1,0,1,27,340,,,,,
f33585ae-9557-4d5a-89f2-379ded545b6e,f33585ae-9557-4d5a-89f2-379ded545b6e,1552332667532,mobile,iOS,1,1,1,0,1,1,103,795,,,,,
77eb905e-0040-4110-8a32-333ee0fe34e8,77eb905e-0040-4110-8a32-333ee0fe34e8,1552287835537,mobile,iOS,1,0,1,1,1,1,0,492,95,87,,,
337389c1-e44b-438d-9f73-ad6fe189aca1,337389c1-e44b-438d-9f73-ad6fe189aca1,1552219802177,NA,Windows,1,0,1,1,0,1,34,319,,,,,1276
47d307a4-8c3c-483e-bfcb-f88e19ebe5fe,47d307a4-8c3c-483e-bfcb-f88e19ebe5fe,1552316930657,NA,Windows,1,1,0,0,0,1,,,,,,,
a51aa00c-f521-4851-ac3b-4e90f6787401,a51aa00c-f521-4851-ac3b-4e90f6787401,1552390509196,NA,Windows,1,1,1,0,1,1,111,414,40,57,592,592,
41569677-b71f-414b-9e6c-c0c4a8aedd96,41569677-b71f-414b-9e6c-c0c4a8aedd96,1552196499255,mobile,Android,1,0,1,0,1,1,0,-20,,,,,
57f80328-95cb-40cc-bcfa-29947369a034,57f80328-95cb-40cc-bcfa-29947369a034,1552275582577,tablet,iOS,1,1,1,1,1,1,3052,3566,1,1,,,
e51de688-e3b6-47d9-9d09-e930774f47b3,e51de688-e3b6-47d9-9d09-e930774f47b3,1552186405250,mobile,iOS,1,0,1,1,0,1,11,435,,,,,
59d328ef-98dd-466b-a482-4c2a05eae9d7,59d328ef-98dd-466b-a482-4c2a05eae9d7,1552163367975,mobile,iOS,1,0,1,0,0,1,0,489,,,,,
34e69cf3-d84f-4062-9a53-04cacc1f737f,34e69cf3-d84f-4062-9a53-04cacc1f737f,1552329832819,mobile,iOS,1,1,1,0,0,1,0,457,2,4,,,
209ba315-b361-4f97-9198-10f05fd95051,209ba315-b361-4f97-9198-10f05fd95051,1552298098161,mobile,iOS,1,1,1,1,1,1,232,969,81,120,,,
66a35ab6-47e4-4425-8f54-44ac77928c93,66a35ab6-47e4-4425-8f54-44ac77928c93,1552274054494,mobile,iOS,1,0,1,1,0,1,135,1155,197,160,,,
10a54f36-cd38-4889-96a1-87d9c73408d1,10a54f36-cd38-4889-96a1-87d9c73408d1,1552332438603,mobile,Android,1,0,0,0,1,1,19,325,38,89,589,910,1011
10745a6b-6f9c-4c92-8098-09358dfe38cb,10745a6b-6f9c-4c92-8098-09358dfe38cb,1552245726909,mobile,iOS,1,1,1,1,0,1,249,,102,115,,,
fa85bfdb-b832-4844-b7fc-dde94b398e33,fa85bfdb-b832-4844-b7fc-dde94b398e33,1552404370780,mobile,Android,1,0,0,1,0,1,91,456,97,241,753,1078,
b37ed945-afcf-4ec2-b958-f803d7e4bd16,b37ed945-afcf-4ec2-b958-f803d7e4bd16,1550988067896,mobile,iOS,0,0,1,,1,1,,,,,,,
73185c6c-0d3a-47d3-b896-e5c901c9c697,73185c6c-0d3a-47d3-b896-e5c901c9c697,1552379455457,NA,Windows,1,0,1,0,0,1,104,708,226,782,1126,1756,1723
8fe7d0c1-d94e-4cf0-bad3-01b9fa31cab0,8fe7d0c1-d94e-4cf0-bad3-01b9fa31cab0,1552205802498,mobile,Android,1,1,1,1,0,1,0,610,,,,,2654
bcd6c035-df6d-4d0d-914c-256438bcc581,bcd6c035-df6d-4d0d-914c-256438bcc581,1552159654775,mobile,Android,1,1,0,1,0,1,0,529,,,,,2417
661a2931-aea8-495a-8d29-c2750739e6f2,661a2931-aea8-495a-8d29-c2750739e6f2,1552233209204,tablet,iOS,1,0,1,1,1,1,36,362,,,,,
b9f69e66-b94e-48ee-9fea-39b4168706d4,b9f69e66-b94e-48ee-9fea-39b4168706d4,1552234126579,mobile,iOS,1,1,1,0,0,1,,,63,58,,,
9fb82f7a-6211-492b-9121-a82c4b85b4d2,9fb82f7a-6211-492b-9121-a82c4b85b4d2,1552183397454,mobile,Android,1,1,0,1,0,1,0,1426,,,,,
d95bd7fb-3c61-4951-a2d1-d89c58276676,d95bd7fb-3c61-4951-a2d1-d89c58276676,1552312284009,mobile,Android,1,0,0,0,1,1,,,664,1741,10571,12983,14746
acd9b547-8301-4246-9e60-a72ec3fb3d9e,acd9b547-8301-4246-9e60-a72ec3fb3d9e,1552381853980,mobile,iOS,1,1,0,0,1,1,110,708,109,119,,,
690b0495-a784-44a3-bf56-72428dee1a2f,690b0495-a784-44a3-bf56-72428dee1a2f,1552388142373,mobile,Android,1,1,1,0,1,1,81,554,10,49,,1555,
f6a318d6-452c-43d4-8f7e-65da971c56d8,f6a318d6-452c-43d4-8f7e-65da971c56d8,1552397319331,mobile,Android,1,1,1,1,0,1,0,298,40,94,649,649,872
9377e3cd-9a36-41c8-9771-4968dfd1856d,9377e3cd-9a36-41c8-9771-4968dfd1856d,1552319976529,mobile,Android,1,1,0,1,0,1,247,638,87,164,951,,1111
b53e405c-6af8-448c-bddf-ac8bceca0454,b53e405c-6af8-448c-bddf-ac8bceca0454,1552375620870,NA,Windows,1,1,0,0,0,1,246,1417,418,609,2030,2030,
552b498f-d7c1-4cc6-b890-d750e60e5c84,552b498f-d7c1-4cc6-b890-d750e60e5c84,1552157799314,mobile,Android,1,1,0,1,1,1,,,,,,,
379a03b5-16d8-498c-a0b9-5808bca9bb6a,379a03b5-16d8-498c-a0b9-5808bca9bb6a,1552216337956,mobile,iOS,1,1,0,0,1,1,137,652,,,,,
c75c2bae-e45f-4be4-ba46-6f33d9f1ae69,c75c2bae-e45f-4be4-ba46-6f33d9f1ae69,1552405036327,mobile,Android,1,0,0,0,0,1,51,928,295,388,1425,1701,1658
f2756836-a68a-4af5-8331-8ce5c1df4054,f2756836-a68a-4af5-8331-8ce5c1df4054,1552247305731,mobile,Android,1,0,0,1,1,1,48,352,38,89,503,653,642
7f704d45-d0de-4de0-8d08-c47b7424d31c,7f704d45-d0de-4de0-8d08-c47b7424d31c,1552193152867,mobile,Android,1,0,0,1,1,1,86,694,,,,,
24060d21-c767-4ea7-9504-51fa50538610,24060d21-c767-4ea7-9504-51fa50538610,1552311530223,mobile,Android,1,0,1,1,0,1,0,1020,249,381,1569,1903,1882
